Origin,Destination,Date,Departure,Arrival,Duration,Changes,Single Price,Return Price,Status,direction,link
BFD,NRW,21072019,09:05,13:27,04:22,3,61.5,62.5,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/NRW/210719/0700/dep/210719/1830/dep
BFD,NRW,21072019,10:05,14:27,04:22,3,61.5,62.5,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/NRW/210719/0700/dep/210719/1830/dep
BFD,NRW,21072019,11:05,15:29,04:24,3,61.5,62.5,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/NRW/210719/0700/dep/210719/1830/dep
NRW,BFD,21072019,19:00,23:07,04:07,3,61.5,62.5,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/NRW/210719/0700/dep/210719/1830/dep
NRW,BFD,21072019,20:00,00:13,04:13,3,61.5,62.5,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/NRW/210719/0700/dep/210719/1830/dep
NRW,BFD,21072019,20:03,00:13,04:10,4,61.5,62.5,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/NRW/210719/0700/dep/210719/1830/dep
NRW,BFD,21072019,22:00,06:23,08:23,3,61.5,62.5,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/NRW/210719/0700/dep/210719/1830/dep
NRW,BFD,21072019,22:00,06:52,08:52,2,61.5,62.5,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/NRW/210719/0700/dep/210719/1830/dep
BFD,BRI,21072019,07:44,10:57,03:13,2,34.8,60.3,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BRI/210719/0700/dep/210719/1830/dep
BFD,BRI,21072019,08:44,11:56,03:12,2,34.8,60.3,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BRI/210719/0700/dep/210719/1830/dep
BFD,BRI,21072019,09:44,12:59,03:15,2,34.8,60.3,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BRI/210719/0700/dep/210719/1830/dep
BRI,BFD,21072019,18:25,21:35,03:10,2,34.8,60.3,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BRI/210719/0700/dep/210719/1830/dep
BRI,BFD,21072019,18:50,22:05,03:15,2,34.8,60.3,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BRI/210719/0700/dep/210719/1830/dep
BRI,BFD,21072019,19:25,22:35,03:10,2,34.8,60.3,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BRI/210719/0700/dep/210719/1830/dep
BRI,BFD,21072019,19:53,23:05,03:12,2,34.8,60.3,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BRI/210719/0700/dep/210719/1830/dep
BRI,BFD,21072019,20:00,23:35,03:35,3,34.8,60.3,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BRI/210719/0700/dep/210719/1830/dep
BFD,BMH,21072019,08:05,11:23,03:18,2,42.4,45.7,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BMH/210719/0700/dep/210719/1830/dep
BFD,BMH,21072019,09:05,12:23,03:18,2,42.4,45.7,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BMH/210719/0700/dep/210719/1830/dep
BFD,BMH,21072019,10:05,13:23,03:18,2,42.4,45.7,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BMH/210719/0700/dep/210719/1830/dep
BFD,BMH,21072019,11:05,14:23,03:18,2,42.4,45.7,bus service,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BMH/210719/0700/dep/210719/1830/dep
BMH,BFD,21072019,18:50,21:35,02:45,2,50.1,45.7,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BMH/210719/0700/dep/210719/1830/dep
BMH,BFD,21072019,19:06,22:07,03:01,2,50.1,45.7,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BMH/210719/0700/dep/210719/1830/dep
BMH,BFD,21072019,19:50,22:35,02:45,2,50.1,45.7,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BMH/210719/0700/dep/210719/1830/dep
BMH,BFD,21072019,20:06,23:07,03:01,2,50.1,45.7,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BMH/210719/0700/dep/210719/1830/dep
BMH,BFD,21072019,21:06,00:13,03:07,2,50.1,45.7,bus service,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BMH/210719/0700/dep/210719/1830/dep
BFD,SAL,27072019,07:24,09:20,01:56,1,21.9,38.9,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/SAL/270719/0700/dep/270719/1830/dep
BFD,SAL,27072019,07:54,09:42,01:48,1,33.6,38.9,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/SAL/270719/0700/dep/270719/1830/dep
BFD,SAL,27072019,08:24,10:20,01:56,1,25.7,38.9,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/SAL/270719/0700/dep/270719/1830/dep
BFD,SAL,27072019,08:54,10:42,01:48,1,33.6,38.9,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/SAL/270719/0700/dep/270719/1830/dep
BFD,SAL,27072019,09:24,11:20,01:56,1,36.1,38.9,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/SAL/270719/0700/dep/270719/1830/dep
SAL,BFD,27072019,18:47,20:52,02:05,2,39.2,38.9,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/SAL/270719/0700/dep/270719/1830/dep
SAL,BFD,27072019,19:21,21:07,01:46,1,25.7,38.9,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/SAL/270719/0700/dep/270719/1830/dep
SAL,BFD,27072019,19:47,21:52,02:05,2,25.7,38.9,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/SAL/270719/0700/dep/270719/1830/dep
BFD,CBG,27072019,07:24,09:30,02:06,2,27.2,30.2,Warning,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBG/270719/0700/dep/270719/1830/dep
BFD,CBG,27072019,07:54,10:02,02:08,2,27.2,30.2,Warning,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBG/270719/0700/dep/270719/1830/dep
BFD,CBG,27072019,08:24,10:30,02:06,2,27.2,30.2,Warning,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBG/270719/0700/dep/270719/1830/dep
BFD,CBG,27072019,08:54,11:02,02:08,2,27.2,30.2,Warning,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBG/270719/0700/dep/270719/1830/dep
BFD,CBG,27072019,09:24,11:30,02:06,2,27.2,30.2,Warning,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBG/270719/0700/dep/270719/1830/dep
CBG,BFD,27072019,18:44,20:52,02:08,2,27.2,30.2,Warning,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBG/270719/0700/dep/270719/1830/dep
CBG,BFD,27072019,19:14,21:22,02:08,2,27.2,30.2,Warning,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBG/270719/0700/dep/270719/1830/dep
CBG,BFD,27072019,19:44,21:52,02:08,2,27.2,30.2,Warning,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBG/270719/0700/dep/270719/1830/dep
CBG,BFD,27072019,20:14,22:22,02:08,2,27.2,30.2,Warning,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBG/270719/0700/dep/270719/1830/dep
CBG,BFD,27072019,20:44,22:52,02:08,2,27.2,30.2,Warning,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/CBG/270719/0700/dep/270719/1830/dep
BFD,BTH,27072019,07:23,09:59,02:36,2,29.0,58.2,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BTH/270719/0700/dep/270719/1830/dep
BFD,BTH,27072019,07:53,10:24,02:31,2,33.5,58.2,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BTH/270719/0700/dep/270719/1830/dep
BFD,BTH,27072019,08:53,11:24,02:31,2,33.5,58.2,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BTH/270719/0700/dep/270719/1830/dep
BFD,BTH,27072019,08:54,11:50,02:56,1,37.1,40.0,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BTH/270719/0700/dep/270719/1830/dep
BFD,BTH,27072019,09:23,11:59,02:36,2,33.5,58.2,OK,Onwards,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BTH/270719/0700/dep/270719/1830/dep
BTH,BFD,27072019,18:43,21:23,02:40,2,29.0,58.2,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BTH/270719/0700/dep/270719/1830/dep
BTH,BFD,27072019,19:43,22:23,02:40,2,29.0,58.2,OK,Return,http://ojp.nationalrail.co.uk/service/timesandfares/BFD/BTH/270719/0700/dep/270719/1830/dep
