Origin,Destination,Date,Price
BFD,CBG,01-08-2019,38.8
BFD,CBG,02-08-2019,38.8
BFD,CBG,03-08-2019,30.2
BFD,CBG,04-08-2019,30.2
BFD,CBG,05-08-2019,38.8
BFD,CBG,06-08-2019,38.8
BFD,CBG,07-08-2019,38.8
BFD,CBG,08-08-2019,38.8
BFD,CBG,09-08-2019,38.8
BFD,CBG,10-08-2019,30.2
BFD,CBG,11-08-2019,30.2
BFD,CBG,12-08-2019,38.8
BFD,CBG,13-08-2019,38.8
BFD,CBG,14-08-2019,38.8
BFD,CBG,15-08-2019,38.8
BFD,CBG,16-08-2019,38.8
BFD,CBG,17-08-2019,30.2
BFD,CBG,18-08-2019,30.2
BFD,CBG,19-08-2019,38.8
BFD,CBG,24-08-2019,30.2
BFD,CBG,25-08-2019,30.2
BFD,CBG,26-08-2019,30.2
BFD,CBG,31-08-2019,30.2
BFD,CBG,01-09-2019,30.2
BFD,CBG,07-09-2019,30.2
BFD,CBG,08-09-2019,30.2
BFD,CBG,14-09-2019,30.2
BFD,CBG,15-09-2019,30.2
BFD,CBG,21-09-2019,30.2
BFD,CBG,22-09-2019,30.2
BFD,CBW,17-06-2019,41.6
BFD,CBW,18-06-2019,41.6
BFD,CBW,19-06-2019,41.6
BFD,CBW,20-06-2019,41.6
BFD,CBW,21-06-2019,41.6
BFD,CBW,22-06-2019,34.6
BFD,CBW,23-06-2019,34.6
BFD,CBW,24-06-2019,41.6
BFD,CBW,25-06-2019,41.6
BFD,CBW,26-06-2019,41.6
BFD,CBW,27-06-2019,41.6
BFD,CBW,28-06-2019,41.6
BFD,CBW,29-06-2019,34.6
BFD,CBW,30-06-2019,34.6
BFD,CBW,01-07-2019,41.6
BFD,CBW,02-07-2019,41.6
BFD,CBW,03-07-2019,41.6
BFD,CBW,04-07-2019,41.6
BFD,CBW,05-07-2019,41.6
BFD,CBW,06-07-2019,34.6
BFD,CBW,07-07-2019,40.9
BFD,CBW,08-07-2019,41.6
BFD,CBW,09-07-2019,41.6
BFD,CBW,10-07-2019,41.6
BFD,CBW,11-07-2019,41.6
BFD,CBW,12-07-2019,41.6
BFD,CBW,13-07-2019,34.6
BFD,CBW,14-07-2019,40.9
BFD,CBW,15-07-2019,41.6
BFD,CBW,16-07-2019,41.6
BFD,CBW,17-07-2019,41.6
BFD,CBW,18-07-2019,41.6
BFD,CBW,19-07-2019,41.6
BFD,CBW,20-07-2019,34.6
BFD,CBW,21-07-2019,34.6
BFD,CBW,22-07-2019,41.6
BFD,CBW,23-07-2019,41.6
